prompt_id,example_id,render_status,eval_score,eval_source,code_len,wallclock_s,started_at,finished_at
008049fc-f49b-4a63-8115-9c01f49e9a83,214d0478-00ad-4263-a600-06ec6804fba8,success,9.0,agent_submitted,1977,483,2026-06-12T19:30:25Z,2026-06-12T19:38:28Z
00880a28-ee19-4c38-97c2-a26fcfc862a7,a22b5e2f-4961-4346-b338-f051b461f2ab,success,9.2,agent_submitted,1135,121,2026-06-12T19:38:28Z,2026-06-12T19:40:29Z
00a8f375-e5d0-4c1d-8ad9-06985c0a5ec7,c4d06a2f-4249-44e9-a940-a04c3ae9db20,success,4.8,composite,2272,1267,2026-06-12T19:40:29Z,2026-06-12T20:01:36Z
00bd1aed-ed75-4e1c-a860-13d254afd967,1019ee65-a806-4e31-9ac4-4058f3b1a697,success,9.2,agent_submitted,1080,90,2026-06-12T20:01:37Z,2026-06-12T20:03:07Z
00d1eb27-97ff-49bc-a78b-c0752af7e439,dd5195df-54e5-439c-9a65-6813a180f3cd,error,2.0,code_only,4223,1357,2026-06-12T20:03:08Z,2026-06-12T20:25:45Z
020c6ab4-f8f6-4d8c-90de-c0051f15c9d7,1935fa40-659d-4124-af4d-eedb99142783,error,1.0,code_only,4701,1991,2026-06-12T20:25:45Z,2026-06-12T20:58:56Z
026e71b9-0d8e-4218-befd-92d3b2686c9e,068ec54f-45ee-403e-824c-cce88d0b18fe,success,9.2,agent_submitted,466,90,2026-06-12T20:58:57Z,2026-06-12T21:00:27Z
027bc5cc-b66b-4807-b3bb-35e76ad0e9c1,8d7e5858-c365-4a3a-a444-45bc31655f0f,error,4.0,code_only,1586,1116,2026-06-12T21:00:28Z,2026-06-12T21:19:04Z
03909b59-7680-4d25-a667-94c25b92f00f,3acf4710-7a9d-4563-81d5-79392f0e7607,success,5.0,composite,5425,1658,2026-06-12T21:19:04Z,2026-06-12T21:46:42Z
03a8e28f-58f1-465b-be4c-f18989675c10,04758fbb-dc0a-4616-95b8-669138258cc0,success,8.6,agent_submitted,3389,754,2026-06-12T21:46:42Z,2026-06-12T21:59:16Z
05066df7-b2f4-46aa-a48f-a37f046982a9,1d76c110-cf37-4433-a3f0-dabb6e5fbb2f,success,2.0,code_only,4445,1447,2026-06-12T21:59:16Z,2026-06-12T22:23:23Z
0636174a-50cd-49fd-8217-7974b1a096fc,31b0864f-449d-45c9-9abe-d5c5bc1335cc,success,6.8,agent_submitted,1561,212,2026-06-12T22:23:23Z,2026-06-12T22:26:55Z
06af61b6-340b-4832-87e4-7c4ac989c3c7,bb59ae21-ef1a-4c2b-9df6-79eb5b48b0a0,success,4.8,composite,6178,1388,2026-06-12T22:26:55Z,2026-06-12T22:50:03Z
078e4d11-bdec-4e92-944f-7bcbb53f41b9,266c8cca-6f80-4fdd-8f6c-46657bc8a345,pending,,,0,3612,2026-06-12T22:50:03Z,2026-06-12T23:50:15Z
07e7526a-2843-49e4-81cf-9dbaca966a93,30d3ca92-3062-4d88-903c-863b4bb893ac,success,9.2,agent_submitted,200,60,2026-06-12T23:50:15Z,2026-06-12T23:51:15Z
084375fa-217c-4016-929f-dd0e2040a57a,f41d933a-ba66-4e39-873c-e0acd7ce5ea8,success,9.6,agent_submitted,267,60,2026-06-12T23:51:16Z,2026-06-12T23:52:16Z
09b73b07-97ba-4cf1-98b9-fa9e2cc07769,b86a0f72-a4f8-4d27-9b6e-9008c97c94ad,success,6.4,composite,5588,2474,2026-06-12T23:52:17Z,2026-06-13T00:33:31Z
09c2b5de-a5fc-4e89-adb6-7a96f3eaefc3,436b3e74-1809-4fb7-aea4-87a99a1888a2,error,3.0,code_only,2748,1388,2026-06-13T00:33:31Z,2026-06-13T00:56:39Z
09df32d8-b3a1-4d92-be8a-fa5df10d3fbd,74beafdb-e391-4699-b520-84940c26b5e8,success,10.0,agent_submitted,339,60,2026-06-13T00:56:40Z,2026-06-13T00:57:40Z
0b1a1ba1-bf0a-4c3f-874a-cf6d0bf5905f,e90de98e-f7e6-454b-8eaa-ca7265e05ea7,success,9.0,agent_submitted,477,60,2026-06-13T00:57:41Z,2026-06-13T00:58:41Z
10024302-14c4-4bf4-be67-77b654123359,cbbd15d3-2d1e-4829-8cc7-d67b88794efb,pending,,,0,4058,2026-06-13T00:58:41Z,2026-06-13T02:06:19Z
19d8a259-9bb5-4c42-aa64-e29e81d9d23c,c611e022-5a2d-4b08-a490-143779803e82,pending,,,0,3751,2026-06-13T02:06:19Z,2026-06-13T03:08:50Z
1a1b5f13-a2bc-4911-9ef3-96834c0981a8,ddc3bed9-f160-422c-89c1-850e1fbf4582,pending,,,0,4549,2026-06-13T03:08:50Z,2026-06-13T04:24:39Z
2341d5b6-8a8a-46db-861b-f32b4f9cea92,c94e9260-7a4d-4bc2-852f-c6f738a404bd,pending,,,0,4139,2026-06-13T04:24:39Z,2026-06-13T05:33:38Z
24f10279-fe4c-4ea5-97e8-3cec6d938b41,a5a33eae-ad73-469b-b7aa-917e0900a5a9,pending,,,0,4250,2026-06-13T05:33:39Z,2026-06-13T06:44:29Z
2d902495-8778-40be-aad6-14295e4a53f8,,,,,,3622,2026-06-13T06:44:29Z,2026-06-13T07:44:51Z
32b6c670-8dfa-43ed-8fd4-e7634d021fd1,baa7b991-e00b-4ade-83e8-c41925c3cfa8,success,6.5,agent_submitted,8360,604,2026-06-13T07:44:51Z,2026-06-13T07:54:55Z
5dd717c0-dc4d-494c-98d2-b4c3b59c2222,1fce8676-0818-47ce-924e-67a8df285bd9,success,7.0,agent_submitted,3774,756,2026-06-13T07:54:56Z,2026-06-13T08:07:32Z
5eeab060-20ad-4551-a151-f8402285b959,a2668803-5fdc-4f1b-880e-935c8ca909a4,success,8.0,agent_submitted,3963,484,2026-06-13T08:07:32Z,2026-06-13T08:15:36Z
645de13c-1e6a-4727-8a8f-bb6a231fd677,2800b0f9-c6da-4616-8c0d-e14b92ab2365,success,4.0,composite,3014,1300,2026-06-13T08:15:36Z,2026-06-13T08:37:16Z
