prompt_id,example_id,render_status,eval_score,eval_source,code_len,wallclock_s,started_at,finished_at
008049fc-f49b-4a63-8115-9c01f49e9a83,08e1ec0f-3ecd-4616-bc4f-100e5350085b,success,9.0,agent_submitted,1501,272,2026-06-13T08:49:51Z,2026-06-13T08:54:23Z
00880a28-ee19-4c38-97c2-a26fcfc862a7,aa56f66d-309f-4e1a-83a5-963716b8a094,success,9.0,agent_submitted,1012,212,2026-06-13T08:54:23Z,2026-06-13T08:57:55Z
00a8f375-e5d0-4c1d-8ad9-06985c0a5ec7,5530793a-19d6-4f4c-9603-45c246c5a3b4,success,6.8,agent_submitted,1884,665,2026-06-13T08:57:55Z,2026-06-13T09:09:00Z
00bd1aed-ed75-4e1c-a860-13d254afd967,92f74fb8-fbca-4cbd-be92-470c0570f590,success,9.2,agent_submitted,1046,242,2026-06-13T09:09:00Z,2026-06-13T09:13:02Z
00d1eb27-97ff-49bc-a78b-c0752af7e439,66f9cbcf-5381-464d-8317-00f66d991dbe,error,,,0,635,2026-06-13T09:13:02Z,2026-06-13T09:23:37Z
020c6ab4-f8f6-4d8c-90de-c0051f15c9d7,c40a84f9-2454-4c8a-836f-8ce74a99ffca,error,4.0,code_only,1915,876,2026-06-13T09:23:37Z,2026-06-13T09:38:13Z
026e71b9-0d8e-4218-befd-92d3b2686c9e,0b92b777-b7ee-464d-94de-6393b3b51a12,success,8.8,agent_submitted,1159,303,2026-06-13T09:38:13Z,2026-06-13T09:43:16Z
027bc5cc-b66b-4807-b3bb-35e76ad0e9c1,48a5111c-f9d7-407a-be31-a30c836bedf3,success,8.5,agent_submitted,1608,363,2026-06-13T09:43:16Z,2026-06-13T09:49:19Z
03909b59-7680-4d25-a667-94c25b92f00f,f4981c80-2cc9-4faf-a96b-70a08c9ad022,success,7.6,composite,4134,545,2026-06-13T09:49:19Z,2026-06-13T09:58:24Z
03a8e28f-58f1-465b-be4c-f18989675c10,8bdf9daf-cf0f-47f4-b6ae-47e2eff57bad,success,9.0,agent_submitted,998,453,2026-06-13T09:58:24Z,2026-06-13T10:05:57Z
05066df7-b2f4-46aa-a48f-a37f046982a9,05a65417-b866-41df-92d4-26ab448525ea,success,1.0,assertion_fail,7101,726,2026-06-13T10:05:57Z,2026-06-13T10:18:03Z
