prompt_id,example_id,render_status,eval_score,eval_source,code_len,wallclock_s,started_at,finished_at
008049fc-f49b-4a63-8115-9c01f49e9a83,151bd6df-8e2c-4b38-9c6b-d7774b0219b0,success,9.2,agent_submitted,1318,91,2026-06-17T19:13:34Z,2026-06-17T19:15:05Z
00880a28-ee19-4c38-97c2-a26fcfc862a7,38b8d475-4b80-4b4d-8b13-c779aaef2513,success,9.2,agent_submitted,911,91,2026-06-17T19:15:05Z,2026-06-17T19:16:36Z
00a8f375-e5d0-4c1d-8ad9-06985c0a5ec7,e79bc543-c551-4b19-a60e-2f9a885888a1,error,,,0,60,2026-06-17T19:16:37Z,2026-06-17T19:17:37Z
00bd1aed-ed75-4e1c-a860-13d254afd967,27b0082b-36f2-4ebe-9779-f7c559e1af62,success,9.2,composite,688,61,2026-06-17T19:17:38Z,2026-06-17T19:18:39Z
00d1eb27-97ff-49bc-a78b-c0752af7e439,37dc9885-735a-4871-98de-9e377f938b2e,success,2.0,code_only,1491,182,2026-06-17T19:18:39Z,2026-06-17T19:21:41Z
020c6ab4-f8f6-4d8c-90de-c0051f15c9d7,d0c1757a-e393-4b38-a40e-6e2914824719,error,2.0,code_only,4472,484,2026-06-17T19:21:41Z,2026-06-17T19:29:45Z
026e71b9-0d8e-4218-befd-92d3b2686c9e,a524d933-e02e-4974-aaad-1afd330e5923,success,9.2,agent_submitted,750,91,2026-06-17T19:33:38Z,2026-06-17T19:35:09Z
027bc5cc-b66b-4807-b3bb-35e76ad0e9c1,c9d9596a-7bb0-4d9d-b2ca-6d8c0cf0f705,success,9.0,composite,3259,272,2026-06-17T19:35:10Z,2026-06-17T19:39:42Z
03909b59-7680-4d25-a667-94c25b92f00f,f87950fe-b078-48bb-a461-f04031f2b454,error,2.0,code_only,3440,424,2026-06-17T19:39:42Z,2026-06-17T19:46:46Z
03a8e28f-58f1-465b-be4c-f18989675c10,09ac3b7a-17ee-41dc-bd78-dd975ba3d9db,success,9.0,agent_submitted,1355,91,2026-06-17T19:46:47Z,2026-06-17T19:48:18Z
05066df7-b2f4-46aa-a48f-a37f046982a9,d22d1926-8c97-4547-a628-ffa0b10b224a,success,1.0,assertion_fail,7810,999,2026-06-17T19:48:18Z,2026-06-17T20:04:57Z
0636174a-50cd-49fd-8217-7974b1a096fc,fe2f5589-b888-4a2a-8622-96d2d8f787f3,success,8.4,composite,1472,121,2026-06-17T20:04:57Z,2026-06-17T20:06:58Z
06af61b6-340b-4832-87e4-7c4ac989c3c7,d53cb052-c9c3-4636-a381-4acb8bb77f7c,success,6.5,agent_submitted,4872,606,2026-06-17T20:08:49Z,2026-06-17T20:18:55Z
078e4d11-bdec-4e92-944f-7bcbb53f41b9,9f01824a-c8a3-4480-be72-11f810ed1801,success,3.0,code_only,3898,272,2026-06-17T20:18:55Z,2026-06-17T20:23:27Z
