model	pass%	incumbent	rc0	kimi-off	glm-off	deepseek	gemma	minimax	kimi2.6	kimi2.7c	minicpm
incumbent	75.7	—	89.4% (54: 19/35)	89.4% (54: 8/46)	85.5% (74: 40/34)	85.3% (75: 10/65)	77.1% (117: 3/114)	88.8% (57: 23/34)	84.3% (80: 41/39)	85.3% (75: 20/55)	74.4% (106: 29/77)
rc0	78.9	89.4% (54: 35/19)	—	93.0% (36: 7/29)	88.3% (60: 41/19)	88.8% (57: 9/48)	79.5% (105: 5/100)	89.6% (53: 29/24)	85.5% (74: 46/28)	88.5% (59: 20/39)	76.1% (97: 32/65)
kimi-off	83.2	89.4% (54: 46/8)	93.0% (36: 29/7)	—	89.0% (56: 50/6)	91.6% (43: 13/30)	84.5% (79: 3/76)	91.2% (45: 36/9)	86.3% (70: 55/15)	90.0% (51: 27/24)	79.5% (80: 35/45)
glm-off	74.6	85.5% (74: 34/40)	88.3% (60: 19/41)	89.0% (56: 6/50)	—	84.1% (81: 10/71)	76.3% (121: 2/119)	87.3% (65: 24/41)	85.1% (76: 36/40)	84.1% (81: 20/61)	75.0% (103: 25/78)
deepseek	86.5	85.3% (75: 65/10)	88.8% (57: 48/9)	91.6% (43: 30/13)	84.1% (81: 71/10)	—	85.9% (72: 8/64)	87.9% (62: 53/9)	84.9% (77: 67/10)	89.4% (54: 37/17)	78.3% (86: 46/40)
gemma	97.5	77.1% (117: 114/3)	79.5% (105: 100/5)	84.5% (79: 76/3)	76.3% (121: 119/2)	85.9% (72: 64/8)	—	79.3% (106: 103/3)	76.7% (119: 116/3)	83.6% (84: 80/4)	82.6% (64: 61/3)
minimax	77.9	88.8% (57: 34/23)	89.6% (53: 24/29)	91.2% (45: 9/36)	87.3% (65: 41/24)	87.9% (62: 9/53)	79.3% (106: 3/103)	—	85.3% (75: 44/31)	86.7% (68: 22/46)	78.1% (87: 25/62)
kimi2.6	75.3	84.3% (80: 39/41)	85.5% (74: 28/46)	86.3% (70: 15/55)	85.1% (76: 40/36)	84.9% (77: 10/67)	76.7% (119: 3/116)	85.3% (75: 31/44)	—	86.1% (71: 17/54)	75.3% (101: 26/75)
kimi2.7c	82.6	85.3% (75: 55/20)	88.5% (59: 39/20)	90.0% (51: 24/27)	84.1% (81: 61/20)	89.4% (54: 17/37)	83.6% (84: 4/80)	86.7% (68: 46/22)	86.1% (71: 54/17)	—	78.5% (85: 36/49)
minicpm	81.2	74.4% (106: 77/29)	76.1% (97: 65/32)	79.5% (80: 45/35)	75.0% (103: 78/25)	78.3% (86: 40/46)	82.6% (64: 3/61)	78.1% (87: 62/25)	75.3% (101: 75/26)	78.5% (85: 49/36)	—

cell = identical items % (hard flips: row-passes-where-column-fails / column-passes-where-row-fails)
